"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-01","0.00","72","89","60"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-02","0.00","70","86",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-03","0.00","71","83",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-04","0.00","67","83","53"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-05","0.00","70",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-06","0.00","72",,"54"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-07","0.00","73","91","56"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-08","0.00","68","87","50"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-09","0.00","66","81","54"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-10","0.00","67",,"51"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-11","0.00","66","84","49"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-12","0.00","70",,"47"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-13","0.00","71","94","50"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-14","0.00","65","89",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-15","0.00","67",,"50"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-16","0.00","69","85","54"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-17","0.00","68","86","53"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-18","0.00","70",,"55"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-19","0.00","69","90","56"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-20","0.00","67","85","54"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-21","0.00","69",,"53"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-22","0.00","66","86","52"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-23","0.00","65","81","51"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-24","0.00","60","78","55"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-25","0.00","66",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-26","0.00","63","78","49"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-27","0.00","66",,
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-28","0.00","65","83","50"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-29","0.00","63","82","53"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-30","0.00","62",,"46"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-03-31","0.00","64",,"48"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-04-01","0.00","61","79","50"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-04-02","0.00","60",,"46"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-04-03","0.00","64",,"48"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-04-04","0.00","64","79","51"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-04-05","0.00","63",,"47"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-04-06","0.00","65","82","49"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-04-07","0.00","59","81","53"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-04-08","0.00","56",,"46"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-04-09","0.00","56",,"40"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-04-10","0.00","60",,"41"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-04-11","0.00","66",,"45"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-04-12","0.00","64","89","48"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-04-13","0.00","61","80","49"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-04-14","0.00","60","75","45"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-04-15","0.00","62","73","50"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-04-16","0.00","64","72",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-04-17","0.00","60",,"48"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-04-18","0.00","62","74","55"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-04-19","0.00","61","75","53"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-04-20","0.06","60","72","57"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-04-21","0.02","63",,"58"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-04-22","0.00","65",,"55"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-04-23","0.00","61","77","46"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","2017-04-24","0.00","55","73","43"
